date,geography,geography code,Household size: Total: All household spaces; measures: Value,Household size: 0 people in household; measures: Value,Household size: 1 person in household; measures: Value,Household size: 2 people in household; measures: Value,Household size: 3 people in household; measures: Value,Household size: 4 people in household; measures: Value,Household size: 5 people in household; measures: Value,Household size: 6 people in household; measures: Value,Household size: 7 people in household; measures: Value,Household size: 8 or more people in household; measures: Value
2021,Manchester 006C,E01005206,724,0,235,214,113,85,36,19,6,16
2021,Manchester 006D,E01005207,780,0,229,200,151,101,69,26,3,1
2021,Manchester 007A,E01005223,605,0,171,152,103,96,60,19,3,1
2021,Manchester 007B,E01005224,757,0,183,179,172,120,61,30,11,1
2021,Manchester 007C,E01005225,856,0,270,277,144,88,47,20,2,8
2021,Manchester 007D,E01005226,700,0,194,153,150,106,58,19,8,12
2021,Manchester 007E,E01005229,606,0,157,199,122,79,36,9,2,2
2021,Manchester 008A,E01005145,776,0,137,124,101,125,118,84,47,40
2021,Manchester 008C,E01005149,505,0,63,60,62,94,88,61,42,35
2021,Manchester 008D,E01005165,888,0,406,163,82,69,56,57,25,30
2021,Manchester 008E,E01005166,703,0,255,112,78,72,70,67,30,19
2021,Manchester 008F,E01005167,633,0,116,117,97,91,97,56,34,25
2021,Manchester 008G,E01034109,425,0,101,74,54,64,62,34,9,27
2021,Manchester 008H,E01034110,483,0,113,99,101,72,41,29,16,12
2021,Manchester 009A,E01005202,856,0,268,218,135,89,64,32,22,28
2021,Manchester 009B,E01005203,858,0,343,197,129,104,54,17,6,8
2021,Manchester 009D,E01005227,741,0,213,167,118,141,58,25,12,7
2021,Manchester 009E,E01005228,894,0,288,233,152,116,70,23,6,6
2021,Manchester 009F,E01033678,658,0,233,128,105,88,50,23,22,9
2021,Manchester 009G,E01033679,581,0,235,125,78,74,42,19,6,2
2021,Manchester 011A,E01005256,1050,0,367,253,204,119,57,38,9,3
2021,Manchester 011B,E01005257,806,0,276,198,126,112,62,23,9,0
2021,Manchester 011C,E01005258,778,0,322,193,146,68,23,20,1,5
2021,Manchester 011D,E01005259,759,0,302,189,118,68,45,19,16,2
2021,Manchester 011E,E01005260,593,0,195,180,107,70,27,11,2,1
2021,Manchester 012A,E01005093,683,0,217,161,120,91,55,33,4,2
2021,Manchester 012B,E01005094,666,0,221,173,100,84,50,28,7,3
2021,Manchester 012C,E01005097,650,0,131,155,131,97,95,31,8,2
2021,Manchester 012D,E01005255,776,0,383,173,86,58,46,14,8,8
