"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
"2021","St Albans","E07000240",148170,122959,322,756,1632,1966,2124,3233,6105,1938,2991,2916,1228
"2021","Welwyn Hatfield","E07000241",119836,93466,191,587,1069,1125,1102,2448,7525,1981,3144,3950,3248
"2021","East Hertfordshire","E07000242",150159,133893,201,577,948,936,1022,1763,4163,1330,2010,2409,907
"2021","Stevenage","E07000243",89498,74744,115,438,704,621,709,1515,4724,1271,1805,1957,895
"2021","East Suffolk","E07000244",246058,231386,439,838,1270,1081,1096,1650,3647,1041,1600,1490,520
"2021","West Suffolk","E07000245",179947,149325,296,608,980,824,998,1655,6172,1979,3095,9248,4767
"2021","City of London","E09000001",8585,4327,16,36,97,145,194,451,736,370,615,896,702
"2021","Barking and Dagenham","E09000002",218869,128483,132,635,1787,2453,5151,12958,30932,9121,11821,11140,4256
"2021","Barnet","E09000003",389344,221293,1085,3643,9170,12696,11826,23371,42047,14255,19706,21921,8331
"2021","Bexley","E09000004",246472,194714,318,1099,2696,3022,3432,7132,18000,4555,5187,4606,1711
"2021","Brent","E09000005",339816,149239,478,3797,12298,14700,12759,24225,44828,16407,24081,26518,10486
"2021","Bromley","E09000006",329991,263052,591,1949,3824,4214,4694,9496,20159,5660,6868,7015,2469
"2021","Camden","E09000007",210138,114647,526,1438,3125,4703,7841,14735,17744,6738,10938,16628,11075
"2021","Croydon","E09000008",390719,254536,511,3415,9858,9298,9840,19490,38733,11573,13790,14451,5224
"2021","Ealing","E09000009",367113,180561,612,3164,11571,12031,11902,25247,48377,15779,23013,25394,9462
"2021","Enfield","E09000010",329982,196824,555,4845,9858,8724,10168,22355,34694,10065,13675,13530,4689
"2021","Greenwich","E09000011",289068,180578,237,1181,3211,3757,5911,14364,34536,11024,13816,14729,5724
"2021","Hackney","E09000012",259145,156219,199,1984,4521,4440,9242,18128,23652,8760,11892,14266,5842
"2021","Hammersmith and Fulham","E09000013",183157,99818,363,1449,3277,3274,5135,12040,18073,7024,10813,15056,6835
"2021","Haringey","E09000014",264241,143117,387,2911,6509,5530,8840,19019,28140,11064,15911,16741,6072
"2021","Harrow","E09000015",261204,127612,432,1912,8931,14802,10089,16070,33535,10121,15336,15996,6368
