date,geography,geography code,Year of arrival in the UK: Total: All usual residents; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,Year of arrival in the UK: Arrived before 1951; measures: Value,Year of arrival in the UK: Arrived 1951 to 1960; measures: Value,Year of arrival in the UK: Arrived 1961 to 1970; measures: Value,Year of arrival in the UK: Arrived 1971 to 1980; measures: Value,Year of arrival in the UK: Arrived 1981 to 1990; measures: Value,Year of arrival in the UK: Arrived 1991 to 2000; measures: Value,Year of arrival in the UK: Arrived 2001 to 2010; measures: Value,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value
2021,Bury 010E,E01004953,1533,1444,2,4,22,18,7,11,6,6,6,5,2
2021,Bury 011A,E01005025,1693,1395,5,4,20,21,13,26,75,17,50,56,11
2021,Bury 011B,E01005027,1859,1310,1,11,27,34,34,44,124,42,89,119,24
2021,Bury 011C,E01005028,2236,1578,1,1,24,24,42,68,249,61,77,76,35
2021,Bury 011D,E01005029,1983,1368,2,10,44,43,44,62,156,56,73,101,24
2021,Bury 012A,E01005000,1474,1398,3,9,9,14,4,12,10,3,2,8,2
2021,Bury 012B,E01005001,1278,1205,2,4,12,16,7,5,13,2,11,0,1
2021,Bury 012C,E01005005,1410,1380,0,10,3,5,1,2,6,3,0,0,0
2021,Bury 012D,E01005006,2019,1927,2,4,8,8,6,12,16,8,13,10,5
2021,Bury 013A,E01005030,1785,1487,0,4,4,11,20,24,89,18,62,51,15
2021,Bury 013B,E01005054,1571,1431,2,10,9,11,10,12,38,5,13,24,6
2021,Bury 013C,E01005059,1785,1440,1,15,16,28,25,44,91,35,35,43,12
2021,Bury 013D,E01005060,1736,1536,0,7,22,19,15,24,43,25,24,18,3
2021,Bury 014A,E01004997,1550,1452,2,6,10,13,7,3,29,5,10,4,9
2021,Bury 014B,E01004998,1657,1584,2,9,9,8,5,6,13,3,4,10,4
2021,Bury 014C,E01004999,1476,1407,0,4,9,9,5,3,17,6,9,6,1
2021,Bury 014D,E01005002,1507,1443,1,1,9,6,3,7,20,5,8,3,1
2021,Bury 014E,E01005003,1489,1336,0,5,5,6,6,12,48,14,13,40,4
2021,Bury 015A,E01004991,1387,1259,0,4,7,13,1,15,38,12,22,12,4
2021,Bury 015B,E01004992,1426,1308,1,4,13,7,5,13,31,18,10,6,10
2021,Bury 015C,E01004993,1988,1764,0,5,17,14,8,19,95,15,19,27,5
2021,Bury 015D,E01004994,1386,1223,1,5,5,6,3,14,38,20,27,24,20
2021,Bury 016A,E01004990,1586,1466,0,2,8,5,7,5,34,18,16,23,2
2021,Bury 016B,E01004996,1511,1373,0,1,4,2,4,9,41,12,26,35,4
2021,Bury 016C,E01005004,1582,1439,2,6,8,6,8,14,35,15,26,20,3
2021,Bury 016D,E01005008,2177,1886,4,8,10,9,9,21,87,23,41,49,30
